,x,y,z,label,state
1049,7.88515742281875,-5.789191752339241,-0.37659873866452565,3,CA
1056,7.561989349858883,9.246121042092062,3.3373302422701574,2,CA
1067,-1.160505487411955,-3.4386924660697065,3.9692941249861318,0,CA
1070,10.681541420145978,12.414378047072958,0.9502558188074144,2,CA
1071,10.083220073622792,12.851179615271121,-2.3113122235732013,2,CA
1075,-4.5878263911925945,-0.06713706304927011,-4.272723071281257,1,CA
1076,-7.803542756602539,1.0304072322408593,-5.899567376531378,1,CA
1081,4.353434027383577,-4.217867667093071,-2.6765553097557433,3,CA
1087,5.515651351513555,9.251984676880568,3.9585377787941534,2,CA
1088,-4.0704633811010575,-1.8863200122986417,3.150901665935598,0,CA
1099,1.9984904126858731,5.74804664093062,3.0852232676034244,3,NM
1105,-0.6187953082880002,-4.130335553724908,6.995742649706274,0,CA
1112,15.824346574500899,10.062365166271194,1.7147828221227863,2,NM
1121,6.08994577636533,-5.865243402328217,2.308247044284976,0,NC
1125,-3.063485228830801,0.008275002461009404,-3.5434200625515344,1,NV
1134,1.5060244427129206,-3.8178441886479426,1.316020188963152,0,CA
1135,11.416252941880972,11.00168100063678,4.763549731962318,2,NM
1137,6.746194328044682,-5.932669803038272,3.3914579608615507,0,NM
1138,4.767459075851948,-4.22141273542845,-3.1896604580248127,3,NM
1144,6.2495006906353145,12.586607226188663,8.122374708429462,2,CA
1148,-1.3867737580087518,-1.1829208705834524,3.076841811902509,3,CA
1153,7.364959653269812,-4.339047181263203,-0.5408068651859872,3,NC
1158,9.286106161737363,0.8191497058747105,0.002531000058138171,3,CA
1160,2.8402964584014687,-2.3965778048016944,-5.404819122867515,1,CA
1169,4.463513754698722,0.34656521644394345,0.7457891882398571,3,NV
1170,2.9292550851348236,4.203260622552617,-2.3500142988727553,3,NV
1175,-5.291319194049755,0.08061822958596586,-6.608761641925436,1,CA
1181,1.4559868179124362,-2.2849660777518577,-5.523557449313521,1,CA
1184,3.780709505527012,3.443235420656223,-2.1417178855972323,3,CA
1188,-0.889000380955197,-2.2834082050233526,-0.42081753626767404,1,CA
1198,3.194098604088273,-2.5307464200994074,-8.047751964719971,1,CA
1201,5.759381832408362,-4.025116506005729,-5.892843783935401,1,CA
1203,12.835047604843325,13.615332565316557,2.1837576633565083,2,CA
1209,7.846160920815358,2.353959523299551,1.412284206127487,3,NV
1210,8.65719174608946,9.371839852531897,-0.8306638873665121,2,CA
1211,-3.363867714959526,-0.18985222790034184,-5.5747365436006415,1,CA
1214,9.601575559572364,-6.6723293896574685,-1.62870112982004,3,NV
1216,5.076981788058414,-5.478813538181207,-0.6331496474774732,3,CA
1219,-1.2752771200663715,-3.044797411498575,2.588963180054668,0,NC
1220,-6.479661170110875,-1.7998114142177064,4.182137695270821,0,NC
1221,9.496687154842624,9.994604799096235,0.3225092237599159,2,NM
1222,10.641281891494627,14.901090596188736,2.9190721332855523,2,CA
1227,7.146325792250836,4.010830419868598,-1.0131495044478829,3,CA
1252,5.7023444068422116,-4.883561651395544,-3.504029530279368,3,NC
1257,-13.873231847671402,1.6234848111642532,3.8001085471667944,0,CA
1260,-1.4431626453306345,-1.3138862205806352,-4.840069414408064,1,NM
1268,1.431427991666556,4.325024704697159,-3.9969166535261165,1,NM
1281,-1.36201445530273,15.05617750342551,-3.296141054837596,2,NC
1284,-7.921647603310642,0.37227930201617393,-1.971071848711961,1,NC
1288,-12.928764699728516,1.7978137326744397,4.08295978634186,0,NC
1292,-6.070939494772508,5.366302476181585,3.49201019189779,3,NC
1302,-13.21752127926933,1.0232948920634037,6.030766660185419,0,NC
1312,14.10241288937121,13.113219340368364,4.658432327289145,2,NC
1319,13.01058745603092,8.497939848663151,-0.16376654868784862,2,CA
1321,-3.7922335723599585,1.1552624259986264,-2.59740724968162,3,NC
1331,6.2105884986796,-5.329489366494235,-2.5604340785705033,3,CA
1350,-9.314795599831502,2.5933113466197204,-5.229116001914368,1,NM
1355,-1.4317644076011153,-3.123478284989522,3.5923469235632095,0,CA
1357,3.6705178328058294,-4.827409130174285,0.6747942249015785,3,NM
1360,-10.914525926701943,-0.6886027474955397,9.630613680210605,0,CA
1364,-4.660243016373754,2.607579118217393,-0.05100337884961079,3,CA
1370,6.9017204123767035,10.355831146689626,-1.2970016192551899,2,CA
1388,12.784433647777997,-7.519813994609842,-1.7885156438966243,3,CA
1394,-5.3635621753367255,-0.541835670452317,-3.0307099687564625,1,NC
1396,4.618471606468313,12.237838244227873,-1.1050681272991334,2,CA
1400,0.5175874808384914,-2.1660662096403764,-3.7550892584429576,1,NC
1405,-4.461641343105905,0.42742279473026734,-5.992277216532225,1,CA
1416,-4.390652975536161,0.7801294840359118,-9.576585880928318,1,NC
1417,-7.480467714639552,0.5152342407160967,-1.620086176450589,1,NM
1421,7.390954862692417,-5.285288984693299,-4.9064152780403,1,NV
1424,-7.359411535802646,0.7975473083198147,-4.416571225271525,1,AR
1445,1.0894976012460398,-2.299916222024803,-3.7041052356052435,3,CA
1446,3.0851708694988833,-3.4294171752072513,-3.6253485713290834,1,CA
1460,8.804745915817504,11.166504422853512,0.2224279717519228,2,NC
1461,-4.090993315366039,0.9228570597114296,-7.666718496979489,1,NC
1468,3.640338834297126,7.765194297565175,0.372959294208793,2,CA
1469,12.809798920627465,14.83500199369964,-0.6855126784438018,2,CA
1473,7.312509154875804,-5.386784282582978,-4.283249438238965,3,CA
