,x,y,label,state
1036,5.676327697757648,-4.057946345499759,4,CA
1038,-5.050934671661431,-1.6738285832891613,7,CA
1039,-0.3300746378563549,-1.9840083910785198,1,CA
1049,7.885157422416266,-5.789191741760764,4,CA
1056,7.561989354838986,9.246121028710157,2,CA
1067,-1.1605054887433786,-3.438692350639049,6,CA
1070,10.681541421197688,12.414377910170833,2,CA
1071,10.083220072841886,12.851179653213872,2,CA
1075,-4.587826385217495,-0.0671370527090867,1,CA
1076,-7.803542752932213,1.0304072056883313,1,CA
1081,4.353434029341532,-4.217867852783553,4,CA
1087,5.515651349665892,9.251984690798484,2,CA
1088,-4.07046337611276,-1.8863200396869848,7,CA
1099,1.9984904156133307,5.7480467781659526,3,NM
1105,-0.6187953028384517,-4.130335598077199,7,CA
1112,15.824346573928663,10.062365105952988,2,NM
1121,6.089945786096714,-5.865243530494758,4,NC
1125,-3.0634852287940815,0.008274977400802852,1,NV
1134,1.5060244469263624,-3.817844086303919,7,CA
1135,11.41625294347135,11.001680965163409,2,NM
1137,6.746194315601284,-5.93266966470284,7,NM
1138,4.767459072299284,-4.2214127266697945,4,NM
1144,6.249500695078137,12.586607180502444,2,CA
1148,-1.3867737543708198,-1.1829207789947256,5,CA
1153,7.364959658075726,-4.339047294603065,4,NC
1158,9.286106162195901,0.8191496431786286,3,CA
1160,2.8402964544151272,-2.396577929141172,1,CA
1169,4.463513752108188,0.3465653376554897,3,NV
1170,2.929255090632986,4.20326066257488,3,NV
1175,-5.291319196428879,0.08061823885740134,1,CA
1181,1.4559868186788485,-2.284966161658651,1,CA
1184,3.780709506671636,3.443235435227962,3,CA
1188,-0.8890003784505772,-2.2834082455624953,5,CA
1198,3.1940986030782303,-2.5307464020841577,1,CA
1201,5.759381834931758,-4.025116619412285,1,CA
1203,12.835047602895372,13.615332503630027,2,CA
1209,7.846160926881263,2.353959567806689,3,NV
1210,8.657191744531204,9.371839889230653,2,CA
1211,-3.363867715787823,-0.18985228562244885,1,CA
1214,9.60157556194445,-6.672329443336185,0,NV
1216,5.076981793099454,-5.478813623329542,0,CA
1219,-1.2752771196818087,-3.044797429000421,7,NC
1220,-6.479661164319689,-1.799811331651187,7,NC
1221,9.496687153771994,9.99460489340417,2,NM
1222,10.64128189038493,14.901090603623068,2,CA
1227,7.146325795400275,4.0108305033709435,3,CA
1252,5.7023444093076,-4.88356161888197,0,NC
1257,-13.873231850229622,1.6234849013861286,7,CA
1260,-1.443162645144932,-1.3138863520523407,1,NM
1268,1.4314279930105116,4.325024697543324,3,NM
1281,-1.3620144508415168,15.05617756512286,2,NC
1284,-7.921647601296842,0.37227938724541665,1,NC
1288,-12.928764702752886,1.797813817323842,7,NC
1292,-6.070939495433286,5.36630237422785,0,NC
1302,-13.217521279268906,1.0232949400105469,7,NC
1312,14.102412883521257,13.113219384603495,2,NC
1319,13.01058745665696,8.497939767103698,2,CA
1321,-3.792233570103395,1.1552624510305627,0,NC
1331,6.210588501841789,-5.329489356432452,4,CA
1350,-9.31479560173555,2.5933113660317986,6,NM
1355,-1.4317644094988309,-3.123478323597402,7,CA
1357,3.670517835977286,-4.827409151354087,5,NM
1360,-10.914525928642757,-0.68860269693026,7,CA
1364,-4.6602430125444485,2.607579080251254,4,CA
1370,6.90172041012906,10.355831124155205,2,CA
1388,12.784433645201032,-7.51981391467563,4,CA
1394,-5.363562180973991,-0.5418355945166901,1,NC
1396,4.618471604767386,12.237838244569284,2,CA
1400,0.5175874727493801,-2.166066270039693,5,NC
1405,-4.461641345357279,0.427422948812062,1,CA
1416,-4.390652976648991,0.7801295377552967,1,NC
1417,-7.4804677126265915,0.5152343520064803,1,NM
1421,7.390954869651844,-5.285289069770282,1,NV
1424,-7.359411534629682,0.7975472191750924,1,AR
1445,1.0894976019790998,-2.299916271351482,4,CA
1446,3.0851708719619793,-3.429417185347036,4,CA
1460,8.80474591626862,11.16650440085687,2,NC
1461,-4.090993319054013,0.9228569853526247,1,NC
1468,3.640338825805262,7.765194329261553,0,CA
1469,12.80979892004224,14.83500187794841,2,CA
1473,7.312509159396606,-5.386784243274133,4,CA
1474,-4.69223162110312,-1.671342876005309,7,CA
1475,12.570534763781422,-7.38385217791427,4,NM
1483,10.994078961840412,-5.359416919792353,4,NM
1491,1.4252287568051547,3.0174912012690456,3,AR
1498,10.211871911870933,9.148236745151832,2,AR
1516,6.708522343546783,11.850152591308944,2,NC
1519,3.2590797461527314,-3.1655828815454075,1,CA
1524,-0.2391229738407736,-3.491404722612329,4,CA
1540,-4.191140643542058,7.181877508013308,4,NV
1544,-9.347236574741483,2.6007236418950646,4,CA
1553,-8.899284153562325,3.0731161884841667,0,CA
1574,1.7507898799406771,-0.744280945033625,1,CA
1583,10.316057894459032,-6.0626055657172095,4,CA
1584,-0.9595598343696256,1.270336308101124,7,CA
1586,7.823097048783352,-5.395623517328473,0,NC
1587,6.656093508352013,-6.191408049813815,4,NC
1594,11.471881107872722,-7.099606790283608,4,AR
1601,3.3547492743294054,-4.11258794586354,4,CA
1604,9.061740999229439,9.960476532435418,2,CA
1612,1.084907846259155,8.013418355939914,2,CA
1621,-3.3478393328246887,9.007393256825225,0,NM
1642,-11.172497152339131,-0.8315346875115605,7,NM
1648,8.120209330899401,5.185592581124794,3,CA
1652,-8.180148517363682,1.278703553765951,6,CA
1658,0.9801568763067192,-2.897713470085623,4,NV
1677,20.19311825091098,17.532910963314727,2,NC
1680,-1.760214866213653,-1.3897136432133292,1,CA
1687,-7.441717619770863,1.352775411218011,6,CA
